FHLBank,FIPSStateCode,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount
472522,64500,126888,2,180,2,42,0.025,4,111300
472522,55653,185184,2,180,2,40,0.0263,5,163700
472522,44765,124944,2,180,2,44,0.0263,3,167300
472522,49426,181056,2,180,2,54,0.0263,5,267000
472522,42019,245496,2,180,2,50,0.0238,5,325000
472522,55653,88788,2,180,2,48,0.025,4,135500
472522,64129,25284,2,180,2,57,0.025,5,73500
472522,51492,88800,2,180,2,56,0.025,4,150000
472522,66262,78228,2,180,2,65,0.0263,4,200000
472522,55653,129192,2,180,2,57,0.0263,5,112000
472522,51075,137376,2,180,2,40,0.0263,5,166300
472522,62912,165960,2,180,2,56,0.0263,5,249600
472522,49426,119328,1,180,1,36,0.0263,5,281450
472522,53906,91596,2,180,2,50,0.0263,3,94500
472522,42019,167376,2,180,2,42,0.0263,4,246050
472522,55653,137256,2,180,2,47,0.0263,5,100500
472522,49426,97644,2,180,2,67,0.0263,5,180000
472522,47238,116292,2,180,2,37,0.0263,5,140000
472522,55702,146388,2,180,2,45,0.025,5,279000
472522,66262,162276,2,180,2,46,0.0263,5,391000
472522,44765,133020,1,180,2,47,0.0263,5,223000
472522,55653,79044,1,180,1,25,0.025,4,169900
472522,55653,215508,2,180,2,41,0.0263,5,275000
472522,53017,106296,2,180,2,33,0.0263,5,240600
472522,75847,159360,2,180,2,45,0.0263,4,328000
472522,47830,105600,2,180,2,50,0.0263,5,197000
472522,50532,88416,2,180,2,47,0.0263,5,179000
472522,59588,56496,1,360,1,27,0.0325,5,239500
472522,64500,129504,2,360,2,70,0.035,3,277000
472522,47830,179328,1,360,2,67,0.0325,5,303750
472522,52431,87072,1,360,2,41,0.0325,4,200000
472522,75847,97572,2,360,2,56,0.0325,4,225000
472522,49426,65652,2,360,2,59,0.035,5,126000
472522,66262,199452,1,360,2,36,0.0338,4,408600
472522,41995,173136,2,360,2,66,0.0325,5,138500
472522,55653,60108,1,360,2,65,0.0325,5,174000
472522,66262,47136,1,360,1,30,0.0325,5,225000
472522,61255,265800,1,360,2,42,0.0325,5,417000
472522,49426,146532,1,360,2,28,0.0325,5,362841
472522,55653,221532,1,360,2,56,0.0325,4,307000
472522,55653,78960,1,360,2,74,0.0325,5,109350
472522,50532,90396,2,360,2,35,0.0325,4,345505
472522,55702,82200,1,360,2,34,0.035,5,235520
472522,49426,94020,1,360,1,56,0.0325,5,272000
472522,47830,144528,1,360,1,50,0.0325,3,334900
472522,51244,109992,1,360,2,58,0.0325,5,95175
472522,49426,109584,1,360,2,64,0.0325,5,110000
472522,59588,42900,1,360,1,82,0.0325,4,137902
472522,73486,251676,1,360,2,62,0.0338,5,500000
472522,66262,203124,1,360,1,50,0.0338,5,617441
472522,66262,156996,2,360,2,46,0.0325,5,454000
472522,66262,197004,1,360,1,29,0.0363,5,625450
472522,66262,194400,1,360,1,46,0.035,5,596700
472522,66262,150036,1,360,1,49,0.0338,4,600000
472522,66262,162396,2,360,2,34,0.0338,2,542050
472522,64500,168804,2,360,2,46,0.0338,5,520000
472522,66262,263772,2,360,2,53,0.0325,4,520000
472522,66262,117264,1,360,1,33,0.0338,5,563868
472522,49426,117720,2,360,2,65,0.035,4,529000
472522,66262,120504,1,360,2,45,0.035,5,418250
472522,66262,151632,2,360,2,46,0.0363,5,470300
472522,64500,264936,2,360,2,46,0.035,5,522100
472522,66262,205212,1,360,2,50,0.0363,5,520950
472522,66262,111972,1,360,2,32,0.0325,5,439025
472522,66262,117696,1,360,1,33,0.0338,5,564950
472522,75847,189996,1,360,2,40,0.035,4,515000
472522,64129,153612,2,360,2,50,0.035,4,486000
472522,66262,227028,1,360,2,51,0.0325,5,618007
472522,66262,226368,2,360,2,60,0.0338,4,614500
